net,length_um
fsm.pstate\[2\],31.84µm
fsm.pstate\[0\],31.665µm
net1,26.52µm
fsm.nstate\[0\],20.82µm
net10,19.48µm
clknet_0_clk,17.14µm
clk,16.39µm
fsm.pstate\[1\],15.94µm
fsm.nstate\[2\],13.8µm
_03_,11.08µm
clknet_1_1__leaf_clk,10.78µm
clknet_1_0__leaf_clk,10.66µm
net9,10.5µm
net3,10.2µm
result[2],8.5µm
net2,8.46µm
result[6],8.04µm
fsm.nstate\[1\],7.98µm
result[3],7.59µm
result[5],7.59µm
reset,7.33µm
net4,6.18µm
_08_,6.14µm
result[4],5.75µm
_01_,5.6µm
net8,5.22µm
net6,4.88µm
flag_gt_zero,4.39µm
result[0],4.39µm
result[1],4.39µm
_06_,3.42µm
_00_,2.84µm
_05_,2.16µm
net11,2.16µm
_07_,1.72µm
net7,1.7µm
_02_,1.36µm
net5,1.14µm
_04_,0.92µm
