Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,40.0200,38.0800,0.000000
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000000
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000000
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000000
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000000
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000000
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000000
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000000
FILLER_8_77,VGND,li1,41.8600,32.6400,0.000013
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000013
FILLER_8_53,VGND,li1,32.6600,32.6400,0.000013
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000013
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000018
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000022
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000022
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000022
FILLER_7_69,VGND,li1,38.1800,32.6400,0.000013
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000013
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000013
FILLER_7_51,VGND,li1,29.9000,32.6400,0.000013
FILLER_7_39,VGND,li1,26.2200,32.6400,0.000013
FILLER_7_15,VGND,li1,13.3400,32.6400,0.000022
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000022
FILLER_6_72,VGND,li1,38.8700,27.2000,0.000013
FILLER_6_64,VGND,li1,35.4200,27.2000,0.000013
FILLER_6_56,VGND,li1,33.1200,27.2000,0.000013
FILLER_6_46,VGND,li1,27.1400,27.2000,0.000013
FILLER_6_38,VGND,li1,24.8400,27.2000,0.000013
FILLER_6_29,VGND,li1,20.2400,27.2000,0.000021
FILLER_6_25,VGND,li1,17.7100,27.2000,0.000023
FILLER_6_13,VGND,li1,14.2600,27.2000,0.000026
FILLER_5_61,VGND,li1,34.2700,27.2000,0.000013
FILLER_5_57,VGND,li1,31.9700,27.2000,0.000013
FILLER_5_53,VGND,li1,30.5900,27.2000,0.000013
FILLER_5_46,VGND,li1,27.6000,27.2000,0.000013
FILLER_5_23,VGND,li1,16.7900,27.2000,0.000023
FILLER_4_71,VGND,li1,38.8700,21.7600,0.000021
FILLER_4_67,VGND,li1,36.5700,21.7600,0.000021
FILLER_4_35,VGND,li1,21.8500,21.7600,0.000017
FILLER_4_29,VGND,li1,20.2400,21.7600,0.000018
FILLER_4_7,VGND,li1,8.9700,21.7600,0.000019
FILLER_4_3,VGND,li1,7.8200,21.7600,0.000019
FILLER_3_78,VGND,li1,42.0900,21.7600,0.000021
FILLER_3_73,VGND,li1,39.5600,21.7600,0.000021
FILLER_3_66,VGND,li1,36.1100,21.7600,0.000021
FILLER_3_60,VGND,li1,34.5000,21.7600,0.000021
FILLER_3_26,VGND,li1,18.1700,21.7600,0.000018
FILLER_3_15,VGND,li1,14.2600,21.7600,0.000019
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000019
FILLER_2_79,VGND,li1,42.3200,16.3200,0.000000
FILLER_2_71,VGND,li1,40.0200,16.3200,0.000000
FILLER_2_59,VGND,li1,35.4200,16.3200,0.000000
FILLER_2_47,VGND,li1,29.9000,16.3200,0.000000
FILLER_2_29,VGND,li1,19.0900,16.3200,0.000000
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000000
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000000
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000000
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000000
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000000
FILLER_1_52,VGND,li1,30.3600,16.3200,0.000000
FILLER_1_40,VGND,li1,26.6800,16.3200,0.000000
FILLER_1_35,VGND,li1,22.0800,16.3200,0.000000
FILLER_1_27,VGND,li1,19.7800,16.3200,0.000000
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000000
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000000
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000000
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000000
FILLER_0_41,VGND,li1,25.3000,10.8800,0.000000
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000000
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000000
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000000
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000000
hold2,VGND,li1,22.5400,16.3200,0.000000
hold1,VGND,li1,29.4400,27.2000,0.000013
clkload0,VGND,li1,23.4600,21.7600,0.000017
