Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000006
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000006
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000007
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000007
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000003
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000003
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000000
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000001
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000006
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000006
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000006
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000006
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000007
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000007
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000002
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000002
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000000
_83_,VGND,li1,8.0500,27.2000,0.000007
_82_,VGND,li1,40.0200,27.2000,0.000006
_81_,VGND,li1,34.9600,32.6400,0.000005
_80_,VGND,li1,40.0200,27.2000,0.000006
_79_,VGND,li1,23.2300,38.0800,0.000001
_78_,VGND,li1,24.1500,32.6400,0.000003
_77_,VGND,li1,33.8100,27.2000,0.000006
_76_,VGND,li1,37.4900,32.6400,0.000005
_75_,VGND,li1,32.6600,32.6400,0.000004
_74_,VGND,li1,36.5700,27.2000,0.000006
_73_,VGND,li1,34.5000,27.2000,0.000006
_72_,VGND,li1,29.9000,27.2000,0.000005
_71_,VGND,li1,32.6600,16.3200,0.000002
_70_,VGND,li1,31.9700,21.7600,0.000006
_69_,VGND,li1,38.6400,21.7600,0.000007
_68_,VGND,li1,36.5700,21.7600,0.000007
_67_,VGND,li1,10.3500,21.7600,0.000007
_66_,VGND,li1,22.0800,21.7600,0.000005
_65_,VGND,li1,24.3800,27.2000,0.000004
_64_,VGND,li1,14.9500,21.7600,0.000006
_63_,VGND,li1,11.2700,21.7600,0.000007
_62_,VGND,li1,17.7100,21.7600,0.000006
_61_,VGND,li1,11.5000,27.2000,0.000006
_60_,VGND,li1,13.1100,21.7600,0.000007
_59_,VGND,li1,14.4900,16.3200,0.000002
_58_,VGND,li1,11.5000,16.3200,0.000003
_57_,VGND,li1,16.3300,27.2000,0.000006
_56_,VGND,li1,25.7600,21.7600,0.000005
_55_,VGND,li1,29.6700,27.2000,0.000005
_54_,VGND,li1,25.5300,16.3200,0.000002
_53_,VGND,li1,24.6100,21.7600,0.000005
_52_,VGND,li1,13.3400,32.6400,0.000005
_51_,VGND,li1,16.3300,32.6400,0.000005
_50_,VGND,li1,24.1500,32.6400,0.000003
_49_,VGND,li1,26.4500,27.2000,0.000004
_48_,VGND,li1,16.7900,21.7600,0.000006
_47_,VGND,li1,22.7700,16.3200,0.000002
_46_,VGND,li1,20.7000,21.7600,0.000005
_45_,VGND,li1,29.9000,21.7600,0.000005
_44_,VGND,li1,18.8600,27.2000,0.000005
_43_,VGND,li1,27.8300,21.7600,0.000005
_42_,VGND,li1,20.4700,27.2000,0.000005
_41_,VGND,li1,26.4500,27.2000,0.000004
_40_,VGND,li1,8.2800,21.7600,0.000007
_39_,VGND,li1,27.3700,16.3200,0.000002
_38_,VGND,li1,26.4500,32.6400,0.000004
